id,table_id,created_at,updated_at,tblidx,wszName,seTblidx,bSeType,byRvType,byExclIdx,byMinLevel,byMaxLevel,byFrequency,wEnchant_Value,byKind,dwEquip,byGroupNo,wMaxValue,bIsSuperior,bIsExcellent,bIsRare,bIsLegendary
004f8334-61d4-491a-bcad-a0f2f47c9743,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,970,ACTIVE_POISON_KEEPTIME_DOWN,649,true,0,0,5,255,1,0,19,0,4,20,true,true,true,true
0057c597-cdd7-48d6-a701-4b1e1c2c905f,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,1066,ACTIVE_ENG_UP,615,false,0,0,2,255,1,0,21,0,1,62,true,true,true,true
0062efc7-d419-4f81-af91-be3a7bc321ec,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,1018,ACTIVE_CANDY_KEEPTIME_DOWN,647,true,0,0,5,255,1,0,20,0,4,20,true,true,true,true
008bc97b-6ac3-4596-aef2-7bb3ce668487,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,972,ACTIVE_MAX_LP_UP,603,false,0,0,1,255,1,0,19,0,5,2762,true,true,true,true
0091c64c-3647-43e2-a79e-7e354ccf2f9f,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,322,ACTIVE_CON_UP,611,false,0,0,3,255,1,0,6,0,8,48,true,true,true,true
0099cd1e-1113-4060-aae1-d7567d075d91,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,258,ACTIVE_DEX_UP,613,false,0,0,3,255,1,0,5,0,4,44,true,true,true,true
00c195ff-081c-4e6c-aa87-a9b638fe5d3c,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,175,ACTIVE_PHYSICAL_CRITICAL_DAMAGE_UP,658,false,0,0,4,255,1,0,1,0,10,28,true,true,true,true
01a75265-f058-4ffc-87b4-554b7fb9e93e,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,781,ACTIVE_PHYSICAL_CRITICAL,632,false,0,0,5,255,1,0,15,0,7,21,true,true,true,true
01aa1d06-189e-4f9c-983d-e8da9c1f6e25,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,586,ACTIVE_ENG_UP,615,false,0,0,2,255,1,0,11,0,8,62,true,true,true,true
01fe5f4c-ec00-40ad-887c-93da9cb954c9,8c2c4969-64c8-4755-a6af-286a2dfcb5ef,2026-01-12 12:20:44.646072,2026-01-12 12:20:44.646072,1033,ACTIVE_BLOCK_RATE_UP,620,false,0,0,1,255,1,0,20,0,7,352,true,true,true,true
